no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,YPII,,Santo Yoseph,,,SMP,,,,,,,,,,,,,,,75,69,56,,,,,,
,YPII,,Setella Matutina,,,SMP,,,,,,,,,,,,,,,55,60,57,,,,,,
,YPII,,Kebon Dalem,,,SMA,,,,,,,,,,,,,,,,,,20,9,21,,,
,YPII,,Trinitas,,,SMA,,,,,,,,,,,,,,,,,,200,165,227,,,
,,,Methodist 6 Medan,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Methodist 6 Medan,,,SD,,,,,,,,,140,140,130,125,105,120,,,,,,,,,
,,,Methodist 6 Medan,,,SMP,,,,,,,,,,,,,,,120,120,90,,,,,,
,,,Methodist 6 Medan,,,SMA,,,,,,,,,,,,,,,,,,100,100,95,,,
,,,Bunda Kandung,,,SMP,,,,,,,,,,,,,,,105,104,86,,,,,,
,,,Bunda Kandung,,,SMA,,,,,,,,,,,,,,,,,,170,168,166,,,
,,,YPHB Bogor,,,SMA,,,,,,,,,,,,,,,,,,240,240,222,,,
,,,Rigatrik,,,TK,,,,,,,,36,,,,,,,,,,,,,,,
,,,St. Paulus Sunter,,,TK,,,,,,,,65,,,,,,,,,,,,,,,
,,,Nurul Falah,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Patria Dharma,,,TK,,,,,,,,23,,,,,,,,,,,,,,,
,,,Taruna Bangsa,,,TK,,,,,,,,46,,,,,,,,,,,,,,,
,,,ISR,,,TK,,,,,,,,130,,,,,,,,,,,,,,,
,,,Charitas Bida Ayu,,,TK,,,,,,,,27,,,,,,,,,,,,,,,
,,,Charitas Sukajadi,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,St. Paulus Sunter,,,SD,,,,,,,,,60,55,64,62,81,81,,,,,,,,,
,,,Nurul Falah,,,SD,,,,,,,,,25,10,18,10,22,16,,,,,,,,,
,,,Patria Dharma,,,SD,,,,,,,,,20,14,17,12,10,10,,,,,,,,,
